"Guten Morgen.       ","Good morning."
"das Foto, -s          ","photo"
"der Mann, -ä-er       ","man, husband"
"hören           ","to listen"
"Musik hören         ","listen to music"
"tanzen            ","dance"
"fahren, er/sie fährt        ","to ride, drive"
"Ski/Fahrrad fahren        ","to skiing, ride a bicycle"
"sehen, er/sie sieht       ","to see, he/she sees"
"der Film, -e          ","movie"
"fotografieren         ","to photograph"
"Volleyball/Fussball spielen     ","to play volleyball / football, soccer"
"kochen            ","to cook"
"treffen, er/sie trifft        ","to meet, he/she meets"
"der Freund, -e          ","friend, boyfriend"
"die Freundin, -nen        ","friend (f.), girlfriend"
"lesen, er/sie liest       ","to read, he/she reads"
"wandern         ","to hike"
"schwimmen         ","to swim"
"laufen, er/sie läuft        ","to run, he/she runs (is running)"
"Schlittschuh laufen       ","ice skating"
"schlafen, er/sie schläft      ","to sleep"
"sprechen, er/sie spricht      ","to speak, he/she speaks"
"lange           ","long"
"im (+ Jahreszeit)       ","in + season"
"  der Frühling        ","spring"
"  der Sommer        ","summer"
"  der Herbst        ","fall, autumn"
"  der Winter        ","winter"
"wann            ","when (time)"
"anfangen, er/sie fängt an     ","start"
"aufhören          ","stop"
"der Tag, -e         ","day"
"jeden Tag         ","every day"
"die Woche, -n         ","week"
"am (+ Wochentag)        ","on + weekday"
"  der Montag, -e        ","Monday"
"der Dienstag, -e      ","Tuesday"
"der Mittwoch, -e      ","Wednesday"
"der Donnerstag, -e      ","Thursday"
"der Freitag, -e       ","Friday"
"der Samstag, -e     ","Saturday"
"der Sonntag, -e     ","Sunday"
"das Wochenende, -n      ","weekend"
"oft           ","often"
"wegfahren, er/sie fährt weg     ","go away (on a trip)"
"manchmal          ","sometimes"
"einladen, er/sie lädt ein     ","to invite"
"selten            ","rarely"
"anrufen         ","to call somebody"
"leben           ","to live"
"immer           ","always"
"ausgehen          ","to go out"
"einkaufen         ","to go (grocery) shopping"
"aufräumen         ","to clean up, tidy"
"fernsehen, er/sie sieht fern      ","to watch TV"
"nie           ","never "
"wie oft           ","how often"
"sagen           ","to say"
"die Zeit, -en         ","time"
"Ich habe leider keine Zeit.     ","Unfortunately, I don’t have time"
"alle            ","every, everybody/everything"
Was macht man in der Freizeit? (3rd person sg.) What does “one” do in his free time?
"            ","What do people do in their free time?"
"75 Prozent lesen gern Bücher. (3rd person pl.)","75 percent like to read books."
"die Leute (pl.)         ","people"
"Herzlichen Glückwunsch!     ","(“heartfelt”) congratulations"
"der Ehepartner, -       ","spouse (m.)"
"die Ehepartnerin, -nen      ","spouse (f.)"
"die Geschwister (pl.)       ","siblings "
"der Bruder, -ü-       ","brother"
"die Schwester, -n     ","sister"
"die Grosseltern (pl.)       ","grandparents"
"  die Grossmutter, -ü-      ","grandmother"
"  der Grossvater, -ä-     ","grandfather"
"die Eltern (pl.)          ","parents"
"  die Mutter, -ü-       ","mother"
"  der Vater, -ä-        ","father"
"das Kind, -er         ","child"
"der Sohn, -ö-e          ","son"
"die Tochter, -ö-        ","daughter"
"verheiratet         ","married"
"ledig           ","single (not married)"
"das Ausland (sg.)       ","foreign countries"
"aussehen, er/sie sieht aus      ","to look (e.g. to look good)"
"nett            ","kind"
"von (+ Name)          ","of, from"
"Das ist der Sohn von Mia.     ","That’s the son of Mia = Mia’s son"
"die Familie, -n         ","family"
"der Brief, -e         ","letter (written message)"
"die Party, -s         ","party"
"mitbringen          ","to bring (with you)"
"die Feier, -n         ","celebration"
"feiern            ","celebrate"
"die Sprache, -n       ","language"
"Ich spreche Deutsch.        ","I speak German."
"Ich bin Deutscher/Deutsche.     ","I’m German (m./f.)."
"der Deutsche, -n        ","German (m.)"
"der Österreicher, -       ","Austrian (m.)"
"die Österreicherin, -nen      ","“ f."
"der Schweizer, -        ","Swiss (m.)"
"die Schweizerin, -nen       ","“ f."
"schon           ","already"
"  Ich war schon in Spanien.   ","I was already in Spain."
"Wir können gern “du” sagen.     ","“We can say informal you to each other.”"
"der Geburtstag, -e        ","birthday"
"das Geschenk, -e        ","present, gift"
"der Arbeitsplatz, -ä-e        ","workplace"
"  am Arbeitsplatz     ","at the workplace"
"der Chef, -s          ","boss, m."
"die Chefin, -nen        ","boss, f."
"das Geld (sg.)          ","money"
"der Kollege, -n         ","colleague, m."
"die Kollegin, -nen        ","“ f."
"der Kuchen, -         ","cake"
"die Pause, -n         ","break (noun)"
"Das geht (auch/nicht).        ","That works (as well/not)."
"noch nie          ","never before"
"das Haus, -äu-er        ","house"
"der Schnee (sg.)        ","snow"
"der Berg, -e          ","mountain"
"oben            ","on top"
"unten           ","bottom"
"hinten            ","behind"
"vorn            ","in front"
"links           ","left"
"rechts            ","right"
"der Apfel, Ä-         ","apple"
"die Butter (sg.)        ","butter"
"das Ei, -er         ","egg"
"das Fleisch (sg.)       ","meat"
"die Gurke, -n         ","cucumber"
"der Joghurt, -s         ","yoghurt"
"die Milch (sg.)         ","milk"
"das Wasser (sg.)        ","water"
"die Wurst, -ü-e         ","sausage"
"die Banane, -n          ","banana"
"der Käse (sg.)          ","cheese"
"die Marmelade, -n       ","jam"
"der Saft, -ä-e          ","juice"
"der Salat, -e         ","salad"
"die Tomate, -n          ","tomato"
"der Wein (sg.)          ","wine"
"essen, er/sie isst        ","eat, he/she eats"
"das Obst (sg.)          ","fruits"
"gern, lieber, am liebsten     ","gladly, more, the most"
"die Kartoffel, -n       ","potato"
"die Nudeln (pl.)        ","pasta"
"der Reis (sg.)          ","rice"
"das Brot, -e          ","bread"
"die Tafel, -n         ","bar (of chocolate)"
"  eine Tafel Schokolade     ","a bar of chocolate"
"der Becher, -         ","jar (or a mug)"
"die Dose, -n          ","can"
"das Glas, -ä-er       ","glass"
"das Netz, -e          ","net"
"die Orange, -n          ","orange"
"die Packung, -en        ","packet, bag"
"das Stück, -e         ","piece"
"die Tüte, -n          ","bag"
"das Frühstück, -e       ","breakfast"
"wollen, er/sie will       ","to want"
"für (+ Name)          ","for (somebody)"
"","Wollen wir etwas für Astrid kochen? - Do we want to cook something for Astrid?"
"etwas           ","something"
"der Fisch, -e         ","fish"
"das Gemüse (sg.)        ","vegetables"
"müssen, er/sie muss       ","to have to"
"mitkommen         ","to come (with somebody)"
"das Café, -s          ","café"
"trinken           ","drink"
"grillen           ","to grill, barbecue"
"das Essen         ","food"
"frühstücken           to breakfast",""
"Was darf es sein?       ","How can I help you? (“What may it be?”)"
"  Ich hätte gern…     ","I’d like to have..."
"  Kein Problem!       ","no problem"
"  Das macht 5 Euro.     ","It costs 5€. (“It makes 5€)"
"das Gramm (g), -        ","gramm"
"der Liter (l), -          ","liter"
"das Pfund, -e         ","pound"
"das Kilo/Kilogramm (kg), -s/-     ","kilogram"
"das Brötchen, -       ","small bread"
"die Sahne/Schlagsahne (sg.)     ","cream / whipped cream"
"der Zucker (sg.)        ","sugar "
"die Karte, -n         ","card, map, menue"
"nehmen, er/sie nimmt        ","to take"
"Ich nehme einen Kaffee.   ","I take a coffee."
"ohne            ","without"
"ohne Zucker       ","without sugar"
