Lektion 12
"Gute Fahrt!         ","Have a good trip!"
"werfen, er/sie wirft, er/sie hat geworfen ","throw"
"der Müll (sg.)          ","trash"
"verboten          ","prohibited"
"Hier ist Rauchen verboten.      ","Smoking is prohibited here."
"dürfen, er/sie darf       ","to may/might (meaning: you’re allowed)"
"Darf man hier rauchen?      ","Is it allowed to smoke here?"
"schade            ","a pity"
"schauen         ","to look; to watch"
"kontrollieren         ","to check"
"die Polizei (sg.)       ","police"
"sicher            ","safe"
"Ist der Schulweg sicher?      ","Is the way to school safe?"
"stehen bleiben, er/sie ist stehen geblieben ","stand still"
"bremsen         ","to brake"
"der Spielplatz, -ä-e        ","play ground"
"die Bitte, -n         ","request"
"eine Bitte haben        ","to have a request"
"Recht haben         ","to be right"
"Ich denke, du hast Recht.     ","I think you’re right."
 
Lektion 16
"der Strand, -ä-e        ","beach"
"das Meer, -e          ","sea"
"die Insel, -n         ","island"
"das Dorf, -ö-er         ","village"
"der Wald, -ä-er       ","forrest"
"die Kirche, -n          ","church"
"der See, -n         ","lake"
"das Boot, -e          ","boat"
"baden           ","to bath"
"In der Sonne liegen       ","to sunbath"
"bummeln         ","to stroll (walking around in a city)"
"tauchen         ","dive"
"angeln            ","to fish"
"der Fluss, -ü-e         ","river"
"zelten            ","to camp"
"segeln            ","to sail"
"bald            ","soon"
"mieten            ","to rent"
"die Dusche, -n          ","shower"
"würde (gern), er/sie würde      ","to would"
"  Ich würde gern nach Rom fahren. ","I would like to go to Rome."
"das Doppelzimmer, -       ","double room"
"kostenlos         ","for free"
"der Fernseher, -        ","TV"
"der Internetanschluss, ü-e      ","internet connection"
"die Heizung, -en        ","heating"
"das Radio, -s         ","radio"
"das Licht (sg.)         ","light"
"die Toilette, -n          ","restroom"
"die Badewanne, -n       ","bathtub"
"Freitag haben Sie ein Zimmer frei?    ","Do you have a (free) room on Friday?"
"mittwochs         ","on Wednesdays"
"das Einzelzimmer, -       ","single room"
"die Übernachtung, -en     ","overnight stay"
"die Rezeption, -en        ","reception"
"kaputt            ","broken"
"schicken          ","send"
"in (+ Zeit)         ","in (+time)"
"","Ich bringe den Schlüssel in fünf Minuten. I bring you the keys in five minutes."
"reparieren          ","to repair"
"nass            ","wet"
"reisen            ","to travel"
"die Ferien (pl.)          ","holidays"
"der Manager, -          ","manager, m."
"die Managerin, -nen       ","manager, f."
"Europa            ","Europe"
"das Ergebnis, -se       ","result"
"der Unterschied, -e       ","difference"
"ähnlich           ","similar"
"reservieren         ","book"
"Ich möchte ein Zimmer reservieren.    ","I’d like to book a room."
"gleich            ","immediately"
"Ich gehe gleich einkaufen.      ","I’m going to shop immediately."
"ausmachen         ","to turn something off"
"Mach bitte das Radio aus.     ","Please, turn the radio off."
"das Feuer, -          ","fire"
"sauber","clean"
